0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.39,-0.44,-0.30999997,-0.090000026,-0.13999993,-0.15000004,-0.25,-0.26000005,-0.5900001,-0.66,-0.069999866,-0.47000015,-0.3300001,-0.33,-0.5400001,-0.71000004,-0.42999998,-0.049999893,-0.57000005,-0.1599999
0.22000003,-0.47,-0.74000007,-0.34,-0.079999916,-0.28,-0.5,-0.52000004,-0.61,-0.8500001,-0.019999959,-0.5,-0.68000007,-0.75000006,-0.64000005,-0.57000005,-0.47999993,-0.009999983,-0.61,-0.37
-0.32,-0.70000005,-0.32,-0.4,-0.70000005,-0.3,-0.4,-0.2,-0.32,-0.3,-0.6,-0.5,-0.5,-0.42,-0.70000005,-0.5,-0.6,-0.6,-0.6,-0.5
-0.45,-0.5,-0.55,-0.4,-0.5,-0.4,-0.8000001,-0.5,-0.45,-0.70000005,-0.5,-0.42,-0.6,-0.45,-0.4,-0.6,-0.70000005,-0.68000007,-0.70000005,-0.46000004
0.11000006,-0.52,-0.4699999,-0.4,-0.33999985,-0.4,-0.82000005,-0.23999998,-0.69,-0.8000001,-0.13999994,-0.53000003,-0.33999997,-0.71000004,-0.5,-0.52,-0.31999993,-0.53999996,-0.50999993,-0.52000004
-0.049999967,-0.6,-0.55,-0.32,-0.52,-0.32,-0.6,-0.3,-0.65000004,-0.5,-0.47999993,-0.70000005,-0.5,-0.45,-0.6,-0.5,-0.35999995,-0.9000001,-0.8000001,-0.8200001
-0.22999999,-0.3,-0.32999998,-0.4,-0.6,-0.4,-0.5,-0.5,-0.42999998,-0.4,-0.5,-0.5,-0.5,-0.42999998,-0.3,-0.3,-0.4,-0.3,-0.5,-0.5
-0.48999998,-0.3,-0.48999998,-0.1,-0.9000001,-0.3,-0.6,-0.2,-0.48999998,-0.5,-0.70000005,-0.6,-0.3,-0.59,-0.5,-0.5,-0.5,-0.6,-0.4,-0.8000001
-0.53,-0.4,-0.53,-0.4,-0.6,-0.5,-0.4,-0.6,-0.42999998,-0.5,-0.6,-0.6,-0.5,-0.32999998,-0.5,-0.5,-0.70000005,-0.6,-0.6,-0.70000005
-0.42,-0.4,-0.72,-0.3,-0.9000001,-0.3,-0.6,-0.3,-0.32,-0.6,-0.70000005,-0.4,-0.6,-0.62,-0.5,-0.5,-0.6,-0.5,-0.5,-0.6
